season,week,manager,pts,IP,H,ER,BB,K,QS,SV+H,ERA,WHIP,K_per_IP
2022,3,Ulmer,204.92,48.66,33,11,16,57,5,6,2.034525277,1.006987259,1.171393342
2022,3,Garth,212.24,59.98,40,11,21,64,4,2,1.650550183,1.017005669,1.067022341
2022,3,Chris,304.33,84.33,59,18,15,74,13,0,1.921024546,0.87750504,0.87750504
2022,3,Andy,129.25,32.99,19,11,20,33,2,6,3.000909366,1.182176417,1.000303122
2022,3,Sam,126.26,42.97,42,22,15,36,4,2,4.607865953,1.326506865,0.83779381
2022,3,Howard,227.59,65.31,48,25,17,68,6,4,3.445107947,0.995253407,1.041188179
2022,3,Rich,180.92,47.65,34,10,11,43,5,4,1.888772298,0.944386149,0.902413431
2022,3,Rouse,225.67,52.66,27,8,13,66,5,5,1.367261679,0.759589821,1.253323205
2022,3,Dave,214.5,67.99,71,26,15,60,7,2,3.4416826,1.264891896,0.882482718
2022,4,Boyce,181.33,59.32,54,24,18,62,5,0,3.641267701,1.2137559,1.045178692
2022,4,Ulmer,210.91,54.65,37,15,12,69,3,5,2.470265325,0.896614822,1.262580055
2022,4,Garth,156.84,47.32,44,19,16,47,3,4,3.613693998,1.267962806,0.993237532
2022,4,Chris,153.17,46.65,33,18,17,51,5,0,3.47266881,1.071811361,1.093247588
2022,4,Andy,168.41,38.66,25,5,6,32,4,7,1.163993792,0.80186239,0.827728919
2022,4,Sam,187.59,58.31,45,15,14,39,4,4,2.315211799,1.011833305,0.668838964
2022,4,Howard,156.93,55.63,56,20,17,36,4,2,3.23566421,1.312241596,0.647132842
2022,4,Rich,169.67,50.65,47,15,15,46,4,3,2.665350444,1.224086871,0.908193485
2022,4,Rouse,187.25,46.98,37,8,8,48,4,5,1.53256705,0.957854406,1.021711367
2022,4,Dave,134.17,45.65,44,22,12,37,4,2,4.337349398,1.226725082,0.810514786
2022,5,Boyce,246.25,75.98,55,35,26,89,7,1,4.145827849,1.066070018,1.171360884
2022,5,Ulmer,97.24,31.99,40,24,11,46,1,3,6.752110034,1.594248203,1.437949359
2022,5,Garth,189.33,51.32,35,24,17,55,3,8,4.208885425,1.013250195,1.071706937
2022,5,Chris,165.66,63.65,77,37,11,54,6,0,5.231736057,1.38256088,0.848389631
2022,5,Andy,117.42,37.64,38,23,11,40,2,4,5.49946865,1.301806589,1.062699256
2022,5,Sam,108.34,46.31,65,30,17,48,1,1,5.830274239,1.77067588,1.036493198
2022,5,Howard,168.08,57.3,40,14,21,41,4,0,2.19895288,1.064572426,0.715532286
2022,5,Rich,147.66,42.65,31,13,7,40,4,2,2.743259086,0.890973036,0.937866354
2022,5,Rouse,176.08,50.32,41,19,16,53,4,4,3.398251192,1.132750397,1.053259141
2022,5,Dave,210.34,65.31,44,19,26,63,6,0,2.61828204,1.071811361,0.964630225
2022,6,Boyce,186.5,52.98,36,17,18,53,4,4,2.88788222,1.019252548,1.000377501
2022,6,Ulmer,137.17,35.66,33,9,13,43,2,4,2.271452608,1.28996074,1.205832866
