season,week,team_id,week_type,playoffs,hitting_points,pitching_points,team_points,manager
2022,21,5,normal,0,176.5,133.84,310.34000000000003,Andy
2022,21,6,normal,0,206.5,170.07999999999998,376.58,Sam
2022,21,7,normal,0,271.0,233.92000000000002,504.92,Howard
2022,21,8,normal,0,163.0,160.51,323.51,Rich
2022,21,9,normal,0,285.0,121.92,406.92,Rouse
2022,21,10,normal,0,271.0,244.75,515.75,Dave
2022,22,1,normal,1,248.0,266.49,514.49,Boyce
2022,22,2,normal,1,245.5,177.42,422.91999999999996,Alex
2022,22,3,normal,1,118.0,125.66,243.66,Garth
2022,22,4,normal,1,227.5,159.25,386.75,Chris
